trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	onset_abs	duration
0	0.02690504095517099	stim	0		345				16.74752237391658	2.976956499973312
0	2.9978534159017727	response	0	space					19.718470748863183	
1	3.003861540928483	stim	0		174				19.724478873889893	1.4556280000833794
1	4.455193958012387	pulse	0	t					21.175811290973797	
1	4.4594895410118625	stim	1		49				21.180106873973273	0.40912966697942466
2	4.868619207991287	fix_pre	0		121	0.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-QiJyOUkuo38_6.mp4	21.589236540952697	1.0075822079088539
2	5.876201415900141	movie	1		239	0.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-QiJyOUkuo38_6.mp4	22.59681874886155	1.9950473750941455
2	7.8712487909942865	fix_post	2		119	0.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-QiJyOUkuo38_6.mp4	24.591866123955697	0.9952548749279231
3	8.86650366592221	fix_pre	0		120	1.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-NuZy8Rjk4d0_156.mp4	25.58712099888362	0.9993041250854731
3	9.865807791007683	movie	1		240	1.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-NuZy8Rjk4d0_156.mp4	26.586425123969093	1.9992090419400483
3	11.865016832947731	fix_post	2		119	1.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-NuZy8Rjk4d0_156.mp4	28.58563416590914	0.9993457919918001
4	12.864362624939531	fix_pre	0		121	2.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-_F8eDDKtvJ0_82.mp4	29.58497995790094	1.0110612909775227
4	13.875423915917054	movie	1		238	2.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-_F8eDDKtvJ0_82.mp4	30.596041248878464	1.9880998340668157
4	15.86352374998387	fix_post	2		119	2.0	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/hcp_movie_eyetracking-main/movs/MomentsInTime/groups/group1/final_videos/2_S_R_yt-_F8eDDKtvJ0_82.mp4	32.58414108294528	1.00434491597116
